PERMNO,date,TICKER,COMNAM,BID
14593,03/27/2007,AAPL,APPLE INC,95.42000
14593,03/28/2007,AAPL,APPLE INC,93.21000
14593,03/29/2007,AAPL,APPLE INC,93.73000
14593,03/30/2007,AAPL,APPLE INC,92.85000
14593,04/02/2007,AAPL,APPLE INC,93.62000
14593,04/03/2007,AAPL,APPLE INC,94.47000
14593,04/04/2007,AAPL,APPLE INC,94.29000
14593,04/05/2007,AAPL,APPLE INC,94.67000
14593,04/09/2007,AAPL,APPLE INC,93.60000
14593,04/10/2007,AAPL,APPLE INC,94.24000
14593,04/11/2007,AAPL,APPLE INC,92.52000
14593,04/12/2007,AAPL,APPLE INC,92.15000
14593,04/13/2007,AAPL,APPLE INC,90.23000
14593,04/16/2007,AAPL,APPLE INC,91.42000
14593,04/17/2007,AAPL,APPLE INC,90.34000
14593,04/18/2007,AAPL,APPLE INC,90.34000
14593,04/19/2007,AAPL,APPLE INC,90.24000
14593,04/20/2007,AAPL,APPLE INC,90.96000
14593,04/23/2007,AAPL,APPLE INC,93.52000
14593,04/24/2007,AAPL,APPLE INC,93.23000
14593,04/25/2007,AAPL,APPLE INC,95.31000
14593,04/26/2007,AAPL,APPLE INC,98.81000
14593,04/27/2007,AAPL,APPLE INC,99.90000
14593,04/30/2007,AAPL,APPLE INC,99.80000
14593,05/01/2007,AAPL,APPLE INC,99.40000
14593,05/02/2007,AAPL,APPLE INC,100.37000
14593,05/03/2007,AAPL,APPLE INC,100.39000
14593,05/04/2007,AAPL,APPLE INC,100.78000
14593,05/07/2007,AAPL,APPLE INC,103.90000
14593,05/08/2007,AAPL,APPLE INC,105.07000
14593,05/09/2007,AAPL,APPLE INC,106.90000
14593,05/10/2007,AAPL,APPLE INC,107.34000
14593,05/11/2007,AAPL,APPLE INC,108.75000
14593,05/14/2007,AAPL,APPLE INC,109.41000
14593,05/15/2007,AAPL,APPLE INC,107.51000
14593,05/16/2007,AAPL,APPLE INC,107.31000
14593,05/17/2007,AAPL,APPLE INC,109.45000
14593,05/18/2007,AAPL,APPLE INC,110.01000
14593,05/21/2007,AAPL,APPLE INC,111.97000
14593,05/22/2007,AAPL,APPLE INC,113.52000
14593,05/23/2007,AAPL,APPLE INC,112.89000
14593,05/24/2007,AAPL,APPLE INC,110.69000
14593,05/25/2007,AAPL,APPLE INC,113.62000
14593,05/29/2007,AAPL,APPLE INC,114.36000
14593,05/30/2007,AAPL,APPLE INC,118.76000
14593,05/31/2007,AAPL,APPLE INC,121.29000
14593,06/01/2007,AAPL,APPLE INC,118.35000
14593,06/04/2007,AAPL,APPLE INC,121.30000
14593,06/05/2007,AAPL,APPLE INC,122.68000
14593,06/06/2007,AAPL,APPLE INC,123.63000
14593,06/07/2007,AAPL,APPLE INC,124.06000
14593,06/08/2007,AAPL,APPLE INC,124.46000
14593,06/11/2007,AAPL,APPLE INC,120.19000
14593,06/12/2007,AAPL,APPLE INC,120.38000
14593,06/13/2007,AAPL,APPLE INC,117.45000
14593,06/14/2007,AAPL,APPLE INC,118.76000
14593,06/15/2007,AAPL,APPLE INC,120.49000
14593,06/18/2007,AAPL,APPLE INC,125.02000
14593,06/19/2007,AAPL,APPLE INC,123.66000
14593,06/20/2007,AAPL,APPLE INC,121.56000
14593,06/21/2007,AAPL,APPLE INC,123.90000
14593,06/22/2007,AAPL,APPLE INC,122.99000
14593,06/25/2007,AAPL,APPLE INC,122.23000
14593,06/26/2007,AAPL,APPLE INC,119.63000
14593,06/27/2007,AAPL,APPLE INC,121.97000
14593,06/28/2007,AAPL,APPLE INC,120.55000
14593,06/29/2007,AAPL,APPLE INC,122.05000
14593,07/02/2007,AAPL,APPLE INC,121.19000
14593,07/03/2007,AAPL,APPLE INC,127.16000
14593,07/05/2007,AAPL,APPLE INC,132.72000
14593,07/06/2007,AAPL,APPLE INC,132.25999
14593,07/09/2007,AAPL,APPLE INC,130.32001
14593,07/10/2007,AAPL,APPLE INC,132.35001
14593,07/11/2007,AAPL,APPLE INC,132.34000
14593,07/12/2007,AAPL,APPLE INC,134.10001
14593,07/13/2007,AAPL,APPLE INC,137.64999
14593,07/16/2007,AAPL,APPLE INC,138.07001
14593,07/17/2007,AAPL,APPLE INC,138.86000
14593,07/18/2007,AAPL,APPLE INC,138.12000
14593,07/19/2007,AAPL,APPLE INC,139.85001
14593,07/20/2007,AAPL,APPLE INC,143.72000
14593,07/23/2007,AAPL,APPLE INC,143.66000
14593,07/24/2007,AAPL,APPLE INC,134.91000
14593,07/25/2007,AAPL,APPLE INC,137.12000
14593,07/26/2007,AAPL,APPLE INC,146.67999
14593,07/27/2007,AAPL,APPLE INC,143.80000
14593,07/30/2007,AAPL,APPLE INC,141.42000
14593,07/31/2007,AAPL,APPLE INC,131.67999
14593,08/01/2007,AAPL,APPLE INC,135.08000
14593,08/02/2007,AAPL,APPLE INC,136.45000
14593,08/03/2007,AAPL,APPLE INC,131.73000
14593,08/06/2007,AAPL,APPLE INC,135.17999
14593,08/07/2007,AAPL,APPLE INC,135.03000
14593,08/08/2007,AAPL,APPLE INC,133.94000
14593,08/09/2007,AAPL,APPLE INC,126.82000
14593,08/10/2007,AAPL,APPLE INC,124.99000
14593,08/13/2007,AAPL,APPLE INC,127.79000
14593,08/14/2007,AAPL,APPLE INC,124.10000
14593,08/15/2007,AAPL,APPLE INC,119.95000
14593,08/16/2007,AAPL,APPLE INC,117.25000
14593,08/17/2007,AAPL,APPLE INC,122.06000
14593,08/20/2007,AAPL,APPLE INC,122.08000
14593,08/21/2007,AAPL,APPLE INC,127.63000
14593,08/22/2007,AAPL,APPLE INC,132.50000
14593,08/23/2007,AAPL,APPLE INC,131.00999
14593,08/24/2007,AAPL,APPLE INC,135.28999
14593,08/27/2007,AAPL,APPLE INC,132.14000
14593,08/28/2007,AAPL,APPLE INC,126.84000
14593,08/29/2007,AAPL,APPLE INC,134.03000
14593,08/30/2007,AAPL,APPLE INC,136.19000
14593,08/31/2007,AAPL,APPLE INC,138.33000
14593,09/04/2007,AAPL,APPLE INC,144.17000
14593,09/05/2007,AAPL,APPLE INC,136.73000
14593,09/06/2007,AAPL,APPLE INC,135.00000
14593,09/07/2007,AAPL,APPLE INC,131.78999
14593,09/10/2007,AAPL,APPLE INC,136.71001
14593,09/11/2007,AAPL,APPLE INC,135.47000
14593,09/12/2007,AAPL,APPLE INC,136.83000
14593,09/13/2007,AAPL,APPLE INC,137.22000
14593,09/14/2007,AAPL,APPLE INC,138.73000
14593,09/17/2007,AAPL,APPLE INC,138.41000
14593,09/18/2007,AAPL,APPLE INC,140.89000
14593,09/19/2007,AAPL,APPLE INC,140.75000
14593,09/20/2007,AAPL,APPLE INC,140.27000
14593,09/21/2007,AAPL,APPLE INC,144.13000
14593,09/24/2007,AAPL,APPLE INC,148.44000
14593,09/25/2007,AAPL,APPLE INC,153.21001
14593,09/26/2007,AAPL,APPLE INC,152.72000
14593,09/27/2007,AAPL,APPLE INC,154.41000
14593,09/28/2007,AAPL,APPLE INC,153.46001
14593,10/01/2007,AAPL,APPLE INC,156.35001
14593,10/02/2007,AAPL,APPLE INC,158.39999
14593,10/03/2007,AAPL,APPLE INC,157.95000
14593,10/04/2007,AAPL,APPLE INC,156.31000
14593,10/05/2007,AAPL,APPLE INC,161.50999
14593,10/08/2007,AAPL,APPLE INC,167.78999
14593,10/09/2007,AAPL,APPLE INC,167.85001
14593,10/10/2007,AAPL,APPLE INC,166.70000
14593,10/11/2007,AAPL,APPLE INC,162.24001
14593,10/12/2007,AAPL,APPLE INC,167.23000
14593,10/15/2007,AAPL,APPLE INC,166.98000
14593,10/16/2007,AAPL,APPLE INC,169.58000
14593,10/17/2007,AAPL,APPLE INC,172.62000
14593,10/18/2007,AAPL,APPLE INC,173.46001
14593,10/19/2007,AAPL,APPLE INC,170.50000
14593,10/22/2007,AAPL,APPLE INC,174.39999
14593,10/23/2007,AAPL,APPLE INC,186.03000
14593,10/24/2007,AAPL,APPLE INC,185.86000
14593,10/25/2007,AAPL,APPLE INC,182.66000
14593,10/26/2007,AAPL,APPLE INC,184.66000
14593,10/29/2007,AAPL,APPLE INC,184.92999
14593,10/30/2007,AAPL,APPLE INC,187.02000
14593,10/31/2007,AAPL,APPLE INC,189.69000
14593,11/01/2007,AAPL,APPLE INC,187.44000
14593,11/02/2007,AAPL,APPLE INC,187.84000
14593,11/05/2007,AAPL,APPLE INC,186.03999
14593,11/06/2007,AAPL,APPLE INC,191.89000
14593,11/07/2007,AAPL,APPLE INC,186.50999
14593,11/08/2007,AAPL,APPLE INC,175.47000
14593,11/09/2007,AAPL,APPLE INC,165.33000
14593,11/12/2007,AAPL,APPLE INC,153.61000
14593,11/13/2007,AAPL,APPLE INC,169.83000
14593,11/14/2007,AAPL,APPLE INC,166.03000
14593,11/15/2007,AAPL,APPLE INC,164.25000
14593,11/16/2007,AAPL,APPLE INC,166.39999
14593,11/19/2007,AAPL,APPLE INC,163.94000
14593,11/20/2007,AAPL,APPLE INC,168.85001
14593,11/21/2007,AAPL,APPLE INC,168.31000
14593,11/23/2007,AAPL,APPLE INC,171.39999
14593,11/26/2007,AAPL,APPLE INC,172.53999
14593,11/27/2007,AAPL,APPLE INC,174.75999
14593,11/28/2007,AAPL,APPLE INC,180.16000
14593,11/29/2007,AAPL,APPLE INC,184.28000
14593,11/30/2007,AAPL,APPLE INC,182.00000
14593,12/03/2007,AAPL,APPLE INC,178.89999
14593,12/04/2007,AAPL,APPLE INC,179.81000
14593,12/05/2007,AAPL,APPLE INC,185.45000
14593,12/06/2007,AAPL,APPLE INC,189.95000
14593,12/07/2007,AAPL,APPLE INC,194.25999
14593,12/10/2007,AAPL,APPLE INC,194.17000
14593,12/11/2007,AAPL,APPLE INC,188.50000
14593,12/12/2007,AAPL,APPLE INC,191.06000
14593,12/13/2007,AAPL,APPLE INC,191.77000
14593,12/14/2007,AAPL,APPLE INC,190.34000
14593,12/17/2007,AAPL,APPLE INC,184.42000
14593,12/18/2007,AAPL,APPLE INC,182.96001
14593,12/19/2007,AAPL,APPLE INC,183.02000
14593,12/20/2007,AAPL,APPLE INC,187.14999
14593,12/21/2007,AAPL,APPLE INC,193.23000
14593,12/24/2007,AAPL,APPLE INC,198.75000
14593,12/26/2007,AAPL,APPLE INC,198.84000
14593,12/27/2007,AAPL,APPLE INC,198.69000
14593,12/28/2007,AAPL,APPLE INC,199.80000
14593,12/31/2007,AAPL,APPLE INC,198.07001
14593,01/02/2008,AAPL,APPLE INC,194.94000
14593,01/03/2008,AAPL,APPLE INC,194.84000
14593,01/04/2008,AAPL,APPLE INC,179.99001
14593,01/07/2008,AAPL,APPLE INC,177.62000
14593,01/08/2008,AAPL,APPLE INC,171.20000
14593,01/09/2008,AAPL,APPLE INC,179.45000
14593,01/10/2008,AAPL,APPLE INC,178.02000
14593,01/11/2008,AAPL,APPLE INC,172.44000
14593,01/14/2008,AAPL,APPLE INC,178.66000
14593,01/15/2008,AAPL,APPLE INC,169.00000
14593,01/16/2008,AAPL,APPLE INC,159.60001
14593,01/17/2008,AAPL,APPLE INC,159.94000
14593,01/18/2008,AAPL,APPLE INC,161.25999
14593,01/22/2008,AAPL,APPLE INC,157.46001
14593,01/23/2008,AAPL,APPLE INC,139.00000
14593,01/24/2008,AAPL,APPLE INC,135.53999
14593,01/25/2008,AAPL,APPLE INC,129.97000
14593,01/28/2008,AAPL,APPLE INC,129.99001
14593,01/29/2008,AAPL,APPLE INC,131.48000
14593,01/30/2008,AAPL,APPLE INC,132.10001
14593,01/31/2008,AAPL,APPLE INC,134.83000
14593,02/01/2008,AAPL,APPLE INC,133.70000
14593,02/04/2008,AAPL,APPLE INC,131.74001
14593,02/05/2008,AAPL,APPLE INC,129.39000
14593,02/06/2008,AAPL,APPLE INC,121.94000
14593,02/07/2008,AAPL,APPLE INC,121.22000
14593,02/08/2008,AAPL,APPLE INC,125.62000
14593,02/11/2008,AAPL,APPLE INC,129.45000
14593,02/12/2008,AAPL,APPLE INC,124.88000
14593,02/13/2008,AAPL,APPLE INC,129.24001
14593,02/14/2008,AAPL,APPLE INC,127.51000
14593,02/15/2008,AAPL,APPLE INC,124.63000
14593,02/19/2008,AAPL,APPLE INC,122.37000
14593,02/20/2008,AAPL,APPLE INC,123.74000
14593,02/21/2008,AAPL,APPLE INC,121.59000
14593,02/22/2008,AAPL,APPLE INC,119.40000
14593,02/25/2008,AAPL,APPLE INC,119.50000
